Player_id,Short_name,Player_position,Nationality_id,Club_team_id,Overall
252371,J. Bellingham,"CAM, CM",14,243,90
239053,F. Valverde,"CM, CDM, RB",60,243,89
212622,J. Kimmich,"CDM, RB, CM",21,21,89
235212,A. Hakimi,"RB, RM",129,73,89
224232,N. Barella,CM,27,44,87
208128,H. Çalhanoğlu,"CDM, CM",48,44,86
226268,F. Dimarco,"LB, LM",27,44,85
239837,A. Mac Allister,"CM, CDM",52,9,87
231866,Rodri,"CDM, CM",45,10,90
194765,A. Griezmann,"ST, LM, CAM",18,240,85
232656,T. Hernández,"LB, LM",18,605,84
212198,Bruno Fernandes,"CAM, CM",38,11,87
246191,J. Alvarez,ST,52,240,87
231281,T. Alexander-Arnold,"RB, RM",14,243,86
244675,Sancet,"CAM, CM, ST",45,448,84
210008,A. Rabiot,"CAM, CM",18,47,83
212616,R. De Paul,"CM, CDM, CAM",52,112893,84
241096,S. Tonali,"CDM, CM",27,13,86
226161,Marcos Llorente,"RB, CM, RM",45,240,84
209658,L. Goretzka,"CM, CDM, CAM",21,21,82
255253,Vitinha,"CM, CDM, CAM",38,73,89
209331,M. Salah,"RM, RW",111,9,91
204923,M. Sabitzer,"CDM, CM",4,22,80
234378,D. Rice,"CDM, CM",14,1,87
210514,João Cancelo,"RB, LB, RM",38,605,84
228702,F. de Jong,"CM, CDM",34,241,87
240638,T. Reijnders,"CM, CDM, CAM",34,10,86
236772,D. Szoboszlai,"CAM, CM",23,9,83
233419,Raphinha,"LM, LW",54,241,89
246669,B. Saka,"RW, RM",14,1,88
223848,S. Milinković-Savić,"CM, CDM, CAM",51,605,84
251854,Pedri,"CM, CDM, CAM",45,241,89
247851,Bruno Guimarães,"CM, CDM",54,13,86
231443,O. Dembélé,"ST, RW, CAM",18,73,90
272834,João Neves,"CM, CDM",38,73,85
246104,R. Gravenberch,"CDM, CM",34,9,85
231478,L. Martínez,ST,52,44,88
192883,H. Mkhitaryan,CM,3,44,83
192985,K. De Bruyne,"CM, CAM",7,48,87
240679,T. Koopmeiners,"CAM, CM",34,45,81
247635,K. Kvaratskhelia,"LW, RW, LM",20,73,87
210035,Grimaldo,"LM, LB, LW",45,32,84
238074,R. James,RB,14,5,81
208574,F. Kostić,"LM, LB, LW",51,45,81
238216,C. Gallagher,"CM, CAM, LM",14,240,81
225193,Mikel Merino,"CM, ST",45,1,83
247090,E. Fernández,"CM, CDM, CAM",52,5,84
209297,Fred,"CM, CDM, CAM",54,326,80
197445,D. Alaba,"CB, LB, LM",4,243,82
226754,I. Bennacer,"CDM, CM",97,211,80
263205,B. Yılmaz,"LM, RM, LW",48,325,80
243576,Pedro Porro,"RB, RM",45,18,82
231747,K. Mbappé,"ST, LW, LM",18,243,91
222665,M. Ødegaard,"CM, CAM",36,1,87
210411,Otávio,"CAM, CM, RM",38,112391,82
243245,O. Kökçü,"CM, CAM, CDM",48,327,82
224334,M. Acuña,"LB, LM",52,1876,78
237238,S. McTominay,"CM, CAM, LM",42,48,85
202126,H. Kane,ST,14,21,89
248243,E. Camavinga,"CM, CDM, LB",18,243,83
224293,Rúben Neves,"CDM, CM",38,605,84
246863,F. Nmecha,"CDM, CM",21,22,82
258648,Carlos Augusto,"LB, CB, LM",54,44,81
210881,J. McGinn,"LM, RM, CAM, LB",42,2,81
225201,Berenguer,"LM, RM, CAM, LW",45,448,82
208333,E. Can,"CB, CDM, CM",21,22,82
228251,L. Pellegrini,"CAM, CM",27,52,80
240950,Pedro Gonçalves,"CAM, LM, CM",38,237,83
223334,Joelinton,"CM, LW, LM",54,13,82
252145,Nuno Mendes,"LB, LM",38,73,86
