Player_id,Age,DOB,Release_clause,Preferred_Position,Height,Weight,Wages,Weak_foot
252371,22,2003-06-29,370800000,"CAM, CM",186,75,320000,4
239053,26,1998-07-22,256100000,"CM, CDM, RB",182,74,340000,4
212622,30,1995-02-08,141900000,"CDM, RB, CM",177,75,140000,4
235212,26,1998-11-04,213700000,"RB, RM",181,73,170000,4
224232,28,1997-02-07,131199999,CM,175,68,69000,4
208128,31,1994-02-08,78400000,"CDM, CM",178,69,61000,5
226268,27,1997-11-10,85800000,"LB, LM",175,76,54000,4
239837,26,1998-12-24,179000000,"CM, CDM",176,72,180000,3
231866,29,1996-06-22,188700000,"CDM, CM",190,82,270000,4
194765,34,1991-03-21,54600000,"ST, LM, CAM",176,67,115000,3
232656,27,1997-10-06,74500000,"LB, LM",184,81,65000,3
212198,30,1994-09-08,146300000,"CAM, CM",179,69,165000,4
246191,25,2000-01-31,232700000,ST,170,71,125000,4
231281,26,1998-10-07,155100000,"RB, RM",180,69,250000,4
244675,25,2000-04-25,127200000,"CAM, CM, ST",188,77,66000,4
210008,30,1995-04-03,59500000,"CAM, CM",191,80,71000,3
212616,31,1994-05-24,,"CM, CDM, CAM",180,70,100000,3
241096,25,2000-05-08,151100000,"CDM, CM",181,79,175000,4
226161,30,1995-01-30,76700000,"RB, CM, RM",184,74,95000,4
209658,30,1995-02-06,47900000,"CM, CDM, CAM",189,82,78000,4
255253,25,2000-02-13,247400000,"CM, CDM, CAM",172,64,170000,3
209331,33,1992-06-15,151700000,"RM, RW",175,72,370000,3
204923,31,1994-03-17,25500000,"CDM, CM",178,76,52000,4
234378,26,1999-01-14,160700000,"CDM, CM",185,80,210000,3
210514,31,1994-05-27,48800000,"RB, LB, RM",182,74,68000,4
228702,28,1997-05-12,163000000,"CM, CDM",181,74,170000,3
240638,26,1998-07-29,153000000,"CM, CDM, CAM",185,73,190000,4
236772,24,2000-10-25,95300000,"CAM, CM",186,74,110000,4
233419,28,1996-12-14,213200000,"LM, LW",176,68,200000,4
246669,23,2001-09-05,228100000,"RW, RM",178,65,230000,4
223848,30,1995-02-27,64800000,"CM, CDM, CAM",192,95,70000,5
251854,22,2002-11-25,317700000,"CM, CDM, CAM",174,60,170000,4
247851,27,1997-11-16,153100000,"CM, CDM",182,74,190000,2
231443,28,1997-05-15,226600000,"ST, RW, CAM",178,67,220000,5
272834,20,2004-09-27,153000000,"CM, CDM",174,66,90000,4
246104,23,2002-05-16,128000000,"CDM, CM",190,77,125000,4
231478,27,1997-08-22,163400000,ST,174,72,79000,4
192883,36,1989-01-21,19000000,CM,177,75,37000,5
192985,34,1991-06-28,62100000,"CM, CAM",181,75,175000,5
240679,27,1998-02-28,46800000,"CAM, CM",183,77,120000,2
247635,24,2001-02-12,209800000,"LW, RW, LM",183,70,140000,5
210035,29,1995-09-20,70600000,"LM, LB, LW",171,68,110000,2
238074,25,1999-12-08,62200000,RB,180,91,115000,4
208574,32,1992-11-01,34900000,"LM, LB, LW",184,84,125000,2
238216,25,2000-02-06,77200000,"CM, CAM, LM",182,77,70000,4
225193,29,1996-06-22,65700000,"CM, ST",189,83,160000,3
247090,24,2001-01-17,112600000,"CM, CDM, CAM",178,76,140000,4
209297,32,1993-03-05,31400000,"CM, CDM, CAM",169,62,60000,4
197445,33,1992-06-24,29700000,"CB, LB, LM",180,78,185000,4
226754,27,1997-12-01,52300000,"CDM, CM",175,70,25000,3
263205,25,2000-05-23,55300000,"LM, RM, LW",186,80,55000,3
243576,25,1999-09-13,73100000,"RB, RM",173,69,105000,3
231747,26,1998-12-20,368700000,"ST, LW, LM",182,75,610000,4
222665,26,1998-12-17,188700000,"CM, CAM",178,68,220000,2
210411,30,1995-02-09,50200000,"CAM, CM, RM",171,67,54000,3
243245,24,2000-12-29,,"CM, CAM, CDM",175,72,25000,5
224334,33,1991-10-28,10500000,"LB, LM",172,69,22000,3
237238,28,1996-12-08,91800000,"CM, CAM, LM",193,88,150000,3
202126,31,1993-07-28,143600000,ST,188,86,155000,4
248243,22,2002-11-10,165400000,"CM, CDM, LB",185,77,175000,3
224293,28,1997-03-13,67800000,"CDM, CM",180,83,68000,4
246863,24,2000-10-10,71000000,"CDM, CM",194,80,50000,3
258648,26,1999-01-07,47400000,"LB, CB, LM",184,75,38000,2
210881,30,1994-10-18,47500000,"LM, RM, CAM, LB",178,68,120000,2
225201,29,1995-07-04,63000000,"LM, RM, CAM, LW",175,73,59000,4
208333,31,1994-01-12,35700000,"CB, CDM, CM",186,86,60000,4
228251,29,1996-06-19,34900000,"CAM, CM",186,77,63000,4
240950,27,1998-06-28,77000000,"CAM, LM, CM",173,78,32000,4
223334,28,1996-08-14,58000000,"CM, LW, LM",186,81,140000,3
252145,23,2002-06-19,165600000,"LB, LM",180,70,110000,4
188545,36,1988-08-21,63600000,ST,185,81,155000,4
247246,24,2001-03-26,64800000,"CM, CDM",192,80,105000,3
181458,36,1989-02-02,11900000,"RW, LW, RM",186,80,25000,5
243014,25,1999-08-07,127400000,"RW, RM, ST",171,75,135000,2
216393,28,1997-05-07,102600000,"CM, CDM, CAM",176,72,170000,4
195479,33,1991-10-31,9900000,"RB, RM",182,75,52000,2
256790,22,2003-02-26,230300000,"CAM, LM, CM, ST",184,72,110000,4
239231,26,1998-07-22,89900000,LB,174,66,155000,3
223959,29,1996-02-11,58900000,"CDM, CM",166,60,73000,3
212811,31,1993-09-01,23800000,"CDM, CM",184,85,55000,4
177003,39,1985-09-09,19600000,"CM, CAM, CDM",172,67,47000,4
230938,28,1996-12-19,36400000,"CDM, CM, CB",183,74,49000,4
226226,29,1996-04-09,63000000,"CAM, CM, CDM",177,68,43000,3
231913,29,1995-12-10,41000000,"CM, RB, RM, CAM",179,71,26000,3
247394,25,2000-04-25,93800000,"CM, RW, CAM",186,80,125000,3
218667,30,1994-08-10,74900000,"CM, RM, CDM, CAM",173,65,165000,3
256630,22,2003-05-03,289700000,"CAM, ST, CM",177,71,190000,4
238744,26,1998-08-28,29300000,"CM, CDM, CAM",180,86,95000,3
213666,29,1996-01-23,34900000,"CM, CAM",191,88,55000,4
202648,31,1993-12-22,45200000,"LM, CM, CDM, LW",180,71,43000,3
219683,30,1994-08-03,46600000,"CM, CDM, CAM",181,81,30000,2
216352,32,1992-11-16,27200000,"CDM, CM",181,72,52000,4
251479,24,2000-12-22,65099999,"LB, RB, LM",183,72,78000,4
251806,24,2001-06-17,46500000,"CM, CDM, CAM",179,71,19000,3
211093,32,1993-06-14,19600000,"CDM, CM",178,74,61000,4
236499,27,1998-05-09,,"CM, CDM",175,66,110000,2
215590,31,1993-07-29,64099999,"ST, CAM",178,66,65000,4
234396,24,2000-11-02,92300000,"LB, LM",185,77,74000,3
239807,25,1999-09-22,55200000,CM,178,74,38000,4
227890,30,1995-02-13,34000000,"LM, LB, LW",177,71,24000,2
236496,26,1999-04-14,63900000,"CDM, CM",185,68,44000,3
256079,23,2001-11-02,183700000,"CDM, CM",178,73,170000,3
251517,23,2002-01-23,103000000,"LB, CB, LM",185,80,130000,5
227236,29,1995-11-16,50200000,"CM, CAM",184,83,115000,3
186345,34,1990-09-19,14300000,"RB, RM",173,71,115000,4
233927,27,1997-08-27,42800000,"CM, LM, CAM",180,72,75000,4
270571,26,1999-06-26,54300000,"CM, CAM, RM",177,79,58000,4
244669,26,1999-06-25,89200000,"CDM, CM",185,78,30000,4
232665,29,1995-09-30,43100000,"CM, CDM",175,74,43000,3
246321,27,1997-10-20,31500000,"LW, ST, RW, LM",173,68,65000,4
239085,24,2000-07-21,302200000,ST,195,94,260000,3
226851,29,1996-03-28,,CB,186,81,51000,3
254243,22,2002-11-06,58300000,"CDM, CM",179,69,78000,4
181291,34,1990-11-11,11100000,"CAM, ST, CM",175,74,35000,4
192638,34,1990-12-28,11600000,"CB, LB",188,81,33000,3
228813,28,1997-06-28,62100000,"CM, CDM",173,68,100000,3
257279,23,2001-07-20,138100000,"LM, ST, LW",174,70,82000,4
256853,23,2002-05-28,81700000,"CAM, LW, CM",187,71,80000,3
231521,26,1998-10-05,92300000,"CM, CDM",178,69,110000,4
251377,25,1999-08-12,47700000,"CAM, CM, LM",178,70,18000,4
204963,33,1992-01-11,57400000,"RB, RM",173,73,240000,3
193747,33,1992-01-08,33600000,"CM, CDM",176,75,76000,4
242280,25,1999-08-24,32799999,"CM, CDM, CAM",181,75,46000,4
262881,25,2000-06-02,50800000,"CM, CDM",187,77,22000,3
217870,31,1993-08-04,45100000,"RB, CB, RM",183,82,120000,4
257534,23,2002-05-06,215300000,"CAM, RM, ST",185,76,185000,3
234060,27,1998-01-07,64200000,"CM, CDM, CAM",184,78,49000,3
261865,23,2001-07-27,61200000,"LB, LM",180,73,84000,3
220651,28,1997-01-04,27200000,"LB, LM",171,69,56000,3
266866,25,1999-07-07,71000000,CM,182,86,77000,3
206511,31,1994-05-27,21300000,"CDM, CM",184,74,51000,2
236015,25,2000-01-27,75100000,"CAM, ST",179,66,105000,3
222077,27,1998-01-08,76300000,"CDM, CM",185,75,150000,4
233096,29,1996-04-18,61100000,"RB, RM",188,80,51000,3
200458,31,1993-07-20,29500000,"LB, LM",178,74,110000,1
212242,30,1994-09-22,36600000,"CDM, CM, CB",186,85,83000,4
241637,25,2000-01-27,107300000,"CDM, CM, CB",187,81,200000,3
215441,29,1996-03-12,135200000,ST,187,82,105000,4
253727,28,1996-10-23,29400000,"CAM, CM, LM",191,85,33000,4
220502,30,1995-06-16,68900000,"LM, LW",177,63,58000,4
208461,34,1991-03-29,20400000,"CM, CDM",186,76,78000,3
215449,29,1996-05-25,6300000,"LB, RB, RM, LM",185,81,28000,3
235944,28,1997-01-07,53600000,"CM, RM, CAM",187,76,51000,3
223697,30,1994-07-05,30600000,"LB, LM",183,76,56000,3
226271,29,1996-04-03,97100000,"CM, CDM",189,70,130000,3
234741,28,1997-06-24,20000000,"LM, CM, LW",169,61,57000,3
220697,28,1996-11-23,79800000,"CM, CAM",175,73,145000,4
190765,34,1991-06-15,11900000,"CDM, CM",181,78,52000,4
183512,35,1990-02-10,11600000,"LB, LM",181,80,34000,3
209889,31,1993-12-22,25600000,"LB, CM, RB, LM",170,71,65000,2
225375,28,1997-05-27,45400000,"RB, CDM, CM, RM",180,72,75000,3
189332,36,1989-03-21,4700000,LB,170,68,8000,3
247972,27,1998-03-03,4500000,"CM, CAM",177,71,7000,5
260247,22,2002-07-26,87900000,"CAM, RM, LM, CM",188,80,110000,4
208418,31,1993-09-04,36600000,"LW, LM",181,73,46000,4
271421,20,2005-06-03,171200000,"RW, LW, CM, RM",181,79,100000,4
228093,27,1997-08-06,96500000,ST,192,80,61000,4
236703,27,1998-04-22,56800000,"LB, LM",181,83,65000,2
241651,27,1998-06-04,179000000,ST,189,94,240000,4
259913,22,2002-09-01,,"CAM, CM, CDM",177,68,25000,4
212523,31,1994-02-01,40900000,"CAM, ST, RW, CM",191,75,66000,4
272500,21,2004-01-03,79800000,"CDM, CM",183,77,70000,3
