Player_id,Club_team_id,club_position,jersey_number,contract_until,joined_date
252371,243,CAM,5,2029,2023-07-01
239053,243,RDM,8,2029,2016-07-22
212622,21,RDM,6,2029,2015-07-01
235212,73,RB,2,2029,2021-07-06
224232,44,RCM,23,2029,2020-09-01
208128,44,CDM,20,2027,2024-07-01
226268,44,LB,32,2027,2018-07-05
239837,9,LDM,10,2028,2023-06-14
231866,10,CDM,16,2027,2019-07-04
194765,240,SUB,7,2027,2022-10-10
232656,605,LB,19,2028,2025-07-10
212198,11,LCM,8,2027,2020-01-30
246191,240,LS,19,2030,2024-08-12
231281,243,RB,12,2031,2025-06-01
244675,448,CAM,8,2032,2017-07-01
210008,47,SUB,12,2028,2025-09-01
212616,112893,SUB,7,2026,
241096,13,CDM,8,2028,2023-07-03
226161,240,RB,14,2027,2019-07-01
209658,21,LDM,8,2026,2018-07-01
255253,73,CM,17,2029,2022-06-30
209331,9,RM,11,2027,2017-07-01
204923,22,SUB,20,2027,2023-07-24
234378,1,LCM,41,2028,2023-07-15
210514,605,RB,20,2027,2024-08-27
228702,241,RDM,21,2026,2019-07-01
240638,10,LCM,4,2030,2023-07-19
236772,9,SUB,8,2028,2023-07-02
233419,241,LM,11,2028,2022-07-13
246669,1,RW,7,2027,2018-09-14
223848,605,RCM,22,2026,2023-07-12
251854,241,LDM,8,2030,2020-08-04
247851,13,RCM,39,2028,2022-01-31
231443,73,ST,10,2028,2023-08-12
272834,73,RCM,87,2029,2024-08-05
246104,9,RDM,38,2028,2023-09-01
231478,44,LS,10,2029,2018-07-04
192883,44,LCM,22,2026,2022-07-01
192985,48,LCM,11,2027,2015-08-30
240679,45,SUB,8,2029,2024-08-28
247635,73,LW,7,2029,2025-01-17
210035,32,LM,20,2027,2023-07-01
238074,5,RB,24,2028,2017-03-01
208574,45,SUB,18,2026,2022-08-12
238216,240,SUB,4,2029,2024-08-21
225193,1,SUB,23,2028,2024-08-27
247090,5,LDM,8,2032,2023-01-31
209297,326,LDM,7,2027,2023-08-13
197445,243,SUB,4,2026,2021-07-01
226754,211,RES,99,2027,2019-08-04
263205,325,LM,53,2028,2021-07-09
243576,18,RB,23,2028,2023-07-01
231747,243,ST,10,2029,2024-07-01
222665,1,RCM,8,2028,2021-08-20
210411,112391,SUB,25,2026,2025-09-09
243245,327,LDM,10,2026,
224334,1876,LB,21,2027,2024-08-20
237238,48,LM,8,2029,2024-08-30
202126,21,ST,9,2027,2023-08-12
248243,243,SUB,6,2029,2021-09-01
224293,605,CDM,8,2026,2023-07-01
246863,22,SUB,8,2028,2023-07-03
258648,44,SUB,30,2028,2024-07-01
210881,2,RM,7,2027,2018-08-08
225201,448,SUB,7,2027,2020-10-02
208333,22,SUB,23,2026,2020-02-18
228251,52,SUB,7,2026,2017-07-01
240950,237,LM,8,2027,2020-08-18
223334,13,LCM,7,2028,2019-07-23
252145,73,LB,25,2029,2021-08-31
188545,241,ST,9,2026,2022-07-18
247246,45,LCM,19,2029,2024-07-09
181458,247,RW,5,2027,2024-09-18
243014,11,RW,19,2030,2025-07-21
216393,2,CAM,8,2027,2023-07-01
195479,86,RB,2,2027,2015-07-20
256790,21,SUB,10,2030,2020-06-03
239231,5,LB,3,2028,2022-08-05
223959,325,RDM,34,2028,2022-08-08
212811,325,LDM,99,2026,2025-02-05
177003,47,LCM,14,2026,2025-07-14
230938,112387,LDM,79,2026,2023-08-09
226226,449,CAM,20,2028,2024-08-30
231913,234,RM,8,2029,2022-08-24
247394,18,RES,21,2028,2023-07-01
218667,10,RCM,20,2026,2017-07-01
256630,9,CAM,7,2030,2020-01-31
238744,45,SUB,22,2026,2021-07-01
213666,47,LAM,8,2027,2023-07-01
202648,453,RCM,10,2028,2023-08-11
219683,66,CAM,8,2027,2022-07-01
216352,112139,LDM,11,2026,2023-07-03
251479,1808,LB,29,2030,2018-07-01
251806,246,LCM,8,2026,2022-07-28
211093,78,CDM,42,2028,2009-07-07
236499,14,SUB,12,2026,
215590,483,LS,22,2028,2024-08-13
234396,21,SUB,19,2030,2019-01-01
239807,44,SUB,16,2028,2024-07-01
227890,237,SUB,11,2027,2020-08-21
236496,46,RCM,8,2028,2024-07-01
256079,5,RDM,25,2031,2023-08-14
251517,10,LCB,24,2028,2023-08-05
227236,48,RCM,99,2027,2022-07-01
186345,13,RB,2,2026,2022-01-07
233927,19,CAM,10,2027,2022-08-29
270571,325,CAM,8,2029,2024-08-04
244669,237,RDM,42,2028,2023-08-13
232665,1860,LCM,8,2028,2018-07-01
246321,78,ST,38,2027,2022-06-07
239085,10,ST,9,2034,2022-07-01
226851,219,RCB,28,2026,
254243,14,LDM,8,2029,2024-07-01
181291,112096,ST,8,2026,2023-09-02
192638,450,LCB,20,2026,2024-08-28
228813,32,RCM,24,2029,2024-07-01
257279,240,LM,10,2030,2019-07-01
256853,32,RAM,10,2030,2025-07-12
231521,32,SUB,25,2028,2020-01-01
251377,1896,LM,10,2028,2023-07-14
204963,243,SUB,2,2026,2013-07-05
193747,240,SUB,6,2026,2011-01-01
242280,189,SUB,19,2027,2022-07-12
262881,234,RDM,20,2030,2025-07-23
217870,48,RB,22,2028,2019-07-01
257534,5,CAM,10,2033,2023-09-01
234060,457,RDM,12,2030,2025-09-01
261865,48,SUB,3,2030,2025-08-21
220651,52,LM,3,2028,2024-07-01
266866,39,SUB,13,2027,2022-07-06
206511,175,LDM,27,2026,2011-10-10
236015,14,CAM,10,2028,2022-08-19
222077,45,RCM,5,2028,2023-07-01
233096,44,RB,2,2028,2021-08-14
200458,2,LB,12,2028,2022-01-13
212242,32,LCM,8,2028,2021-08-16
241637,243,LDM,14,2028,2022-07-01
215441,22,ST,9,2028,2024-07-18
253727,266,RAM,17,2029,2019-09-02
220502,46,LW,10,2029,2021-09-01
208461,39,RCM,15,2026,2017-08-10
215449,1831,LB,24,2030,2024-09-04
235944,457,CAM,23,2028,2022-07-06
223697,110374,LM,21,2028,2025-07-01
226271,73,LCM,8,2027,2022-08-31
234741,1794,LCM,8,2027,2023-08-11
220697,18,RES,10,2028,2023-06-28
190765,22,RCM,13,2026,2024-08-01
183512,448,LB,17,2026,2018-07-02
209889,21,SUB,22,2026,2023-07-01
225375,21,RB,27,2027,2023-07-01
189332,112893,LB,18,2025,2023-07-21
247972,100761,CAM,27,2028,2020-01-01
260247,2,LM,27,2030,2024-02-01
208418,111674,LM,10,2026,2023-09-04
271421,73,RW,14,2029,2024-08-17
228093,44,RS,9,2028,2023-07-01
236703,112172,LB,22,2027,2022-07-31
241651,1,ST,14,2030,2025-07-26
259913,234,SUB,10,2026,
212523,326,CAM,94,2026,2025-01-27
272500,1808,RDM,17,2028,2023-08-29
212207,110556,CAM,8,2027,2025-07-01
245367,18,SUB,7,2030,2025-08-29
201389,54,LB,34,2027,2025-07-01
199503,106,CDM,34,2028,2025-07-30
211110,52,RAM,21,2026,2022-07-20
227796,47,RAM,11,2027,2023-07-13
204539,1877,RB,17,2026,2021-07-31
208722,112139,LM,10,2026,2023-08-01
216201,448,RM,9,2028,2012-08-01
256688,38,SUB,18,2026,
239093,72,RM,92,2026,2024-07-25
260908,9,LB,6,2030,2023-07-20
250723,52,LCM,17,2029,2025-07-01
244309,379,CAM,10,2027,2023-07-07
259694,450,RM,3,2026,2022-07-30
200104,112996,ST,7,2027,2025-08-06
215914,607,RDM,7,2026,2023-07-01
188377,1796,RB,2,2027,2025-07-05
189513,483,LCM,10,2026,2020-08-12
240734,219,SUB,17,2026,
241084,21,LM,14,2029,2025-07-30
225309,169,LCM,10,2028,2024-01-31
207410,10,RES,8,2027,2023-06-27
236657,461,SUB,23,2029,2025-08-08
224574,278,RCM,13,2027,2023-07-01
207439,1877,LCM,5,2028,2025-07-10
237692,10,SUB,47,2027,2016-12-06
253124,10,RB,27,2028,2023-09-01
186942,325,SUB,20,2027,2025-09-02
270673,73,SUB,33,2029,2022-07-15
242201,1860,CDM,5,2027,2022-07-25
210602,605,LM,29,2027,2011-07-01
258775,457,SUB,24,2028,2024-08-02
231969,110556,SUB,17,2027,2024-01-31
242516,9,LM,18,2030,2023-01-03
241811,457,SUB,17,2030,2024-07-12
244374,101047,CAM,10,2026,2018-01-01
273018,5,SUB,17,2030,2023-01-06
259516,240,RCM,5,2030,2025-07-16
221697,2,ST,11,2028,2020-09-09
247827,21,RM,17,2029,2024-07-07
216150,39,SUB,77,2026,2021-08-24
183711,1925,RDM,6,2027,2025-07-15
248148,1,CDM,36,2030,2018-07-01
258966,45,LM,27,2027,2022-07-14
216267,9,SUB,26,2026,2017-07-21
228618,243,SUB,23,2028,2019-07-01
237646,1799,RB,2,2028,2024-01-30
224196,22,LCB,5,2027,2023-07-01
237520,393,LDM,2,2027,2024-07-01
210406,44,SUB,7,2028,2024-07-01
235794,1,SUB,10,2029,2025-08-23
240243,11,LW,10,2030,2025-07-01
267430,449,SUB,18,2030,2025-08-07
247103,240,LCB,17,2030,2025-07-25
197781,449,SUB,22,2027,2023-07-26
191740,1877,SUB,21,2025,2025-01-20
205214,300,RW,10,2026,2021-05-07
222737,605,RM,10,2027,2023-07-26
255001,46,CM,6,2028,2025-07-01
255009,245,LCM,8,2027,2018-05-25
230481,517,CAM,20,2028,2025-06-18
268683,1842,LCM,90,2026,
213884,1943,SUB,10,2027,2021-08-31
226456,449,RDM,8,2029,2024-02-01
208618,32,SUB,21,2027,2025-08-26
245235,234,RES,6,2029,2022-07-01
225663,69,LM,10,2029,2018-07-27
230183,1048,LB,4,2028,2025-06-18
212091,280,RB,23,2027,2023-01-01
216435,48,CDM,68,2027,2020-01-15
229261,69,LCM,6,2028,2023-08-15
232244,101083,LCM,5,2026,2023-01-17
241508,1925,CAM,24,2030,2022-08-10
225126,1824,SUB,15,2027,2023-07-05
210047,13,RCB,5,2026,2018-07-26
247819,22,RES,4,2027,2022-07-01
158023,112893,RS,10,2025,2023-07-16
193352,449,SUB,12,2026,2024-08-06
226162,2,SUB,10,2026,2021-06-10
176580,112893,LS,9,2025,2024-01-01
242964,13,LW,10,2027,2023-01-29
213565,110062,LCM,11,2026,
203376,9,LCB,4,2027,2018-01-01
231318,65,LB,15,2028,2025-08-08
242434,9,SUB,17,2027,2018-02-01
223273,39,LCM,8,2028,2020-09-01
230965,112391,RM,8,2027,2024-07-17
205157,448,RDM,16,2027,2023-07-01
240507,219,RDM,8,2028,2020-08-04
223154,436,SUB,11,2027,2024-06-27
272874,78,RCM,27,2028,2024-08-30
259583,18,SUB,13,2030,2022-08-17
241509,247,LB,17,2029,2017-06-23
235152,1808,SUB,24,2028,2024-08-27
245138,1876,SUB,34,2025,2025-07-01
252060,189,SUB,4,2026,
243627,111674,LDM,29,2028,2025-09-10
213991,1799,SUB,8,2026,2023-07-01
240709,112172,RB,17,2027,2025-01-10
234505,113149,RAM,10,2027,2025-02-17
244261,175,CAM,10,2028,2023-08-16
256675,10,LW,7,2029,2025-01-23
236477,100409,SUB,20,2027,2024-08-31
227535,18,SUB,30,2026,2022-01-31
254579,1745,LDM,33,2029,2023-01-16
230786,461,SUB,18,2028,2023-07-08
227813,14,SUB,35,2026,
232711,38,RDM,6,2028,2022-07-01
241496,219,SUB,22,2026,
225403,326,SUB,17,2028,2021-01-31
239301,11,RES,6,2027,2022-07-27
195864,69,SUB,8,2027,2025-07-01
214047,101100,SUB,8,2026,2025-01-20
209989,483,SUB,16,2026,2025-08-18
251573,605,RES,6,2027,2024-01-17
220659,111674,SUB,8,2027,2025-09-10
235008,1861,SUB,24,2028,2020-10-01
227647,36,LB,7,2028,2023-07-01
251294,111768,LCM,8,2025,2024-02-05
211688,461,LB,14,2027,2012-09-13
229188,234,RS,14,2029,2024-07-01
216700,1876,CM,8,2026,2024-08-15
221053,101088,LB,3,2025,2023-08-17
266127,13,SUB,3,2029,2024-07-01
234153,457,SUB,18,2029,2025-09-02
193198,481,LDM,6,2026,2019-07-23
229659,673,LDM,8,2029,2014-03-21
193082,110738,SUB,11,2026,2025-08-06
20801,112139,ST,7,2027,2023-01-01
233029,101088,SUB,25,2027,2025-07-25
237386,7,CAM,22,2030,2025-08-06
264330,266,RCM,10,2029,2025-08-26
211361,46,SUB,32,2027,2011-07-01
230337,567,LB,18,2028,2025-06-18
192318,1824,SUB,27,2026,2022-07-01
212138,74,RB,95,2026,
212228,112387,ST,99,2028,2024-08-31
215071,1876,SUB,20,2025,2015-09-09
234574,11,SUB,2,2028,2018-06-09
210896,72,SUB,8,2027,2024-05-14
213516,1896,CAM,21,2028,2017-07-19
251470,39,RAM,17,2027,2024-07-01
224371,19,RS,20,2030,2020-01-31
253072,605,ST,7,2028,2025-08-09
233965,31,SUB,17,2028,2025-09-01
251988,111811,SUB,28,2028,2024-07-01
253149,9,RB,30,2030,2021-01-27
233731,9,SUB,9,2031,2025-09-01
268889,243,LB,18,2031,2025-07-15
219553,110980,SUB,10,2026,2025-01-01
216409,48,RM,21,2027,2021-07-01
236146,1719,SUB,16,2028,2025-06-18
236492,480,CAM,4,2028,2024-08-06
235297,160,RCM,19,2026,2023-07-01
208250,1884,CM,11,2027,2024-01-22
251530,46,LB,17,2029,2025-07-01
165153,607,ST,9,2026,2023-07-01
224158,449,SUB,14,2026,
235973,326,SUB,53,2027,2023-07-12
248872,101085,SUB,26,2028,2019-08-26
272951,1876,LCM,22,2028,2025-03-12
244791,673,SUB,17,2026,2019-08-16
232770,110827,SUB,11,2027,2021-05-06
229752,481,SUB,20,2028,2023-08-04
257186,47,SUB,30,2030,2025-08-07
243686,280,RM,22,2027,2024-01-20
264697,175,LM,9,2029,2025-07-01
230142,457,ST,10,2028,2014-07-01
230767,1884,SUB,8,2027,2022-08-04
245630,47,RCM,19,2028,2024-08-17
245637,1808,CAM,10,2029,2024-08-19
208268,52,RCM,4,2027,2019-07-01
208093,483,RS,7,2027,2018-07-02
206085,13,SUB,23,2027,2017-07-19
259868,18,RCM,29,2030,2021-08-27
231340,1876,RB,4,2028,2025-01-20
257771,1831,SUB,18,2027,2023-01-22
255742,78,LCM,41,2028,2022-01-01
209499,607,LDM,8,2026,2023-07-31
232293,325,ST,45,2029,2025-07-31
236699,144,LDM,20,2027,2023-01-31
245155,18,RW,20,2031,2025-07-10
257191,8,LCM,18,2029,2025-07-22
236791,1837,SUB,72,2026,
212729,113037,RCM,20,2030,2024-08-19
206591,38,SUB,8,2026,2022-07-15
233556,189,RM,7,2027,2019-07-01
220837,64,LM,3,2026,2021-07-07
224294,1943,SUB,4,2028,2016-07-08
