Player_id,Nationality_id,nation_position,nation_jersey
252371,14,CAM,10
239053,60,,
212622,21,RCM,6
235212,129,RB,2
224232,27,RCM,18
208128,48,,
226268,27,LB,3
239837,52,LCM,20
231866,45,SUB,16
194765,18,,
232656,18,LB,22
212198,38,RCM,8
246191,52,ST,9
231281,14,RES,26
244675,45,,
210008,18,SUB,14
212616,52,RCM,7
241096,27,LCM,8
226161,45,,
209658,21,SUB,8
255253,38,CDM,23
209331,111,,
204923,4,,
234378,14,LDM,4
210514,38,SUB,24
228702,34,LDM,21
240638,34,CAM,14
236772,23,LCM,10
233419,54,,
246669,14,RES,25
223848,51,,
251854,45,RCM,20
247851,54,,
231443,18,RW,7
272834,38,SUB,15
246104,34,RDM,8
231478,52,SUB,22
192883,3,,
192985,7,,
240679,34,SUB,25
247635,20,,
210035,45,SUB,15
238074,14,RB,3
208574,51,,
238216,14,,
225193,45,SUB,6
247090,52,CDM,24
209297,54,,
197445,4,,
226754,97,,
263205,48,,
243576,45,RB,12
231747,18,ST,10
222665,36,RCM,10
210411,38,,
243245,48,,
224334,52,SUB,8
237238,42,CAM,4
202126,14,ST,9
248243,18,SUB,26
224293,38,SUB,21
246863,21,SUB,24
258648,54,,
210881,42,LM,7
225201,45,,
208333,21,,
228251,27,RES,26
240950,38,SUB,19
223334,54,,
252145,38,LB,25
188545,37,RS,9
247246,18,,
181458,10,RW,14
243014,103,,
216393,7,,
195479,14,,
256790,21,,
239231,45,LB,22
223959,60,,
212811,115,,
177003,10,LCM,10
230938,108,,
226226,52,SUB,11
231913,36,,
247394,46,CAM,21
218667,38,LCM,10
256630,21,RAM,17
238744,95,RCM,8
213666,14,,
202648,45,,
219683,18,,
216352,10,,
251479,7,,
251806,34,SUB,24
211093,42,,
236499,54,,
215590,45,SUB,9
234396,70,,
239807,27,SUB,16
227890,38,,
236496,18,SUB,6
256079,57,,
251517,10,LB,4
227236,103,,
186345,14,,
233927,54,,
270571,54,,
244669,13,RDM,21
232665,60,,
246321,163,,
239085,36,ST,9
226851,18,SUB,2
254243,14,,
181291,34,,
192638,45,,
228813,45,,
257279,45,RES,26
256853,95,LCM,17
231521,52,SUB,14
251377,60,,
204963,45,SUB,2
193747,45,,
242280,42,LDM,19
262881,56,,
217870,27,RB,22
257534,14,RES,24
234060,61,,
261865,45,,
220651,45,,
266866,54,,
206511,21,,
236015,14,,
222077,27,SUB,5
233096,34,RB,22
200458,18,SUB,3
212242,21,SUB,23
241637,18,RCM,8
215441,118,,
253727,12,RCM,14
220502,27,LM,20
208461,34,,
215449,13,,
235944,45,,
223697,21,,
226271,45,LCM,8
234741,34,,
220697,14,,
190765,21,LCM,5
183512,45,,
209889,38,,
225375,4,,
189332,45,,
247972,39,SUB,10
260247,14,SUB,16
208418,7,,
271421,18,LW,24
228093,18,SUB,9
236703,21,LM,22
241651,46,LS,17
259913,49,LCM,8
212523,54,,
272500,103,,
212207,39,CM,21
245367,34,SUB,7
201389,27,,
199503,47,,
211110,52,SUB,21
227796,95,CAM,10
204539,59,,
208722,136,,
216201,117,RM,19
256688,45,,
239093,18,RES,19
260908,23,LB,11
250723,18,LCM,13
244309,32,,
259694,45,RES,24
200104,167,,
215914,18,,
188377,14,SUB,2
189513,45,,
240734,13,RES,24
241084,56,,
225309,21,SUB,10
207410,10,RCM,8
236657,47,,
224574,83,SUB,17
207439,52,SUB,5
237692,14,RW,7
253124,38,RES,18
186942,21,,
270673,18,RES,18
242201,45,,
210602,183,,
258775,10,SUB,26
231969,49,,
242516,34,LW,11
241811,45,,
244374,49,RCM,10
273018,54,,
259516,95,,
221697,14,,
247827,18,SUB,11
216150,27,,
183711,14,SUB,8
248148,45,CDM,18
258966,27,SUB,19
216267,42,LB,3
228618,18,,
237646,56,,
224196,97,,
237520,118,,
210406,37,RCM,10
235794,14,SUB,15
240243,54,,
267430,56,,
247103,43,,
197781,45,,
191740,45,,
205214,36,,
222737,54,,
235537,83,SUB,22
255001,27,SUB,6
255009,34,,
230481,54,,
268683,27,,
213884,42,SUB,11
226456,45,,
208618,45,,
245235,13,SUB,4
225663,40,,
230183,54,,
212091,54,,
216435,43,,
229261,47,,
232244,52,,
241508,13,SUB,14
225126,145,,
210047,47,,
247819,21,,
158023,52,RW,10
193352,47,,
226162,52,,
176580,60,,
242964,14,SUB,18
213565,18,,
203376,34,LCB,4
